,BOLD_correlation,Mask,Max,Max-Mean,Max-Min,Mean_peak,Mean_peak-Min,Min,TI,Task,Time_to_peak,slope
1,0.9032801723957204,0.0,1.0,1.0,1.0,1.0,1.0,1.0,630,0.0,0.0,1.0
1,0.0,0.0,0.8343429980741597,0.284725286911505,0.1867269075579191,0.8293628215887239,0.056513043492999626,0.9515007112485668,650,0.0,1.0,0.07348820442706702
1,0.5769959342408102,0.0,0.7730465598563256,0.16110287234996726,0.0,0.7876001064030156,0.0,0.9133358458842764,670,0.0,0.25,0.0
1,0.9645390721528504,0.0,0.5513520660484623,0.23671233842294026,0.15918328625610978,0.5660765602481135,0.2530354581177417,0.6275496760519914,690,0.0,0.5,0.2385989020058356
1,0.7808268700662608,0.0,0.6419722226844762,0.2735265580318492,0.31290749638695714,0.6563995398939255,0.40484331416809904,0.7056309988319853,710,0.0,0.5,0.36114732948932304
1,0.9999999999999998,0.0,0.3875043226434194,0.4767939989353533,0.28979502128379475,0.3847019730806487,0.32438349866078303,0.41403840411163984,730,0.0,0.25,0.3258015948524414
1,0.5571897237210803,0.0,0.0,0.0,0.08515797535989689,0.0,0.2181967914388938,0.0,750,0.0,0.0,0.19226813669737225
2,0.7212423767423896,0.0,0.0,0.5351913596739258,0.4102346911611466,0.0,0.5449660944535195,0.0,630,0.0,0.8,0.6845104505456835
2,0.3242158567754225,0.0,0.7704070377943895,0.0,0.0,0.7765761314205193,0.0,0.7989342718978767,650,0.0,0.6000000000000001,0.08900133014633563
2,0.0,0.0,0.3728483644382843,1.0,1.0,0.3626308701948986,1.0,0.35021561679262536,670,0.0,1.0,1.0
2,0.324117381989085,0.0,0.5439804039269189,0.5420251705577688,0.3973507933933743,0.539563799586956,0.2833227994327336,0.5513293126843415,690,0.0,0.8,0.0
2,0.7034362720677892,0.0,1.0,0.9547245833840076,0.6788094453608411,1.0,0.7369652310903081,1.0,710,0.0,0.3999999999999999,0.8870031228857319
2,0.5508250560913044,0.0,0.7388410177130496,0.12713381743559946,0.13875858060935958,0.7447423985205637,0.19685464554839305,0.7605623358180553,730,0.0,0.0,0.4333743245034898
2,1.0,0.0,0.8150148868619977,0.10680022765299002,0.13275377922465564,0.8222070505051011,0.2138243888583688,0.8379594497405165,750,0.0,0.0,0.3261964800049679
