,BOLD_correlation,High_TI,Low_TI,Max,Max-Mean,Max-Min,Mean_peak,Mean_peak-Min,Medium_TI,Min,Task,Time_to_peak,Tstat,slope
1,0.6751332915635326,0,1,0.7373512580557238,0.11236294528679563,0.11813249659119153,0.7489385630133194,0.3739770174843573,0,0.7507631963249901,0.0,0.375,0.1418255784447272,0.39870458360671707
1,0.9374410841005664,0,1,0.16686907651034666,0.8372102094337701,0.9882288063396005,0.16756914231376466,0.9899424852902721,0,0.1570208368141124,1.0,0.16666666666666674,0.974625090019462,0.9078246492566013
1,0.9546636605156573,1,0,0.9243524164700254,0.33129064815394027,0.21224221839573726,0.9382081336082218,0.39972327637762617,0,0.9542459904511063,1.0,0.5,0.45467907180271083,0.5507542472979285
1,0.8997572423400662,1,0,0.12136724411588685,0.6752537203141533,0.6739723711626212,0.10048934726967396,0.7361402404155614,0,0.06336619378904373,0.0,0.5,0.8885813414421604,0.7178704479031127
1,0.5089296398871758,0,0,0.44116388826418174,0.315520200276336,0.21585291121110384,0.4285133681036572,0.2771222724941252,1,0.4482936670807523,0.0,0.6666666666666666,0.4800446836973111,0.2507140911607324
1,0.6515644310878835,0,0,0.8284846362692816,0.448816750418871,0.4051245658799299,0.8242749442252352,0.444235018566743,1,0.842283771758425,1.0,0.5555555555555555,0.45495211862209545,0.4369388730554327
2,0.5672894075969928,0,1,0.7567725693400202,0.7573168259451956,0.7477379300955931,0.7544043421907887,0.4752693399390272,0,0.7462259072791073,0.0,0.1,0.21234196809908806,0.5094303273123114
2,0.9382826237201667,0,1,0.13047728770943934,0.47982741865245526,0.3221950225370131,0.13125390364864398,0.07072176815657552,0,0.19319744047302712,1.0,0.9285714285714286,0.34869607385051926,0.35655399814098954
2,0.392758307570987,1,0,0.5013875312256104,0.9812957543906697,0.9059488615978244,0.5,0.9278751209593511,0,0.5,1.0,0.2857142857142857,0.008365210320993743,0.2528248685508462
2,0.8187522940798111,1,0,0.14098506694271418,0.2397578913899152,0.14271440145536096,0.13932592420544546,0.05428055190731088,0,0.1389121871168686,0.0,0.29999999999999993,0.2537254462407581,0.07464756801032917
2,0.32951481578123154,0,0,0.3423730810385089,0.5642047041973753,0.8549353688025837,0.34219018308645666,0.7420795780897489,1,0.32124131711849824,0.0,0.4666666666666666,0.38492249422713615,0.6539184902561305
2,0.3859291272113195,0,0,0.6082379078544969,0.5640584553508075,0.43174808645087914,0.6245844859092132,0.5012449651363253,1,0.6523912834603347,1.0,0.6190476190476191,0.49572158441088926,0.4610820663002105
3,0.44012543315248087,1,0,0.871883715457654,0.5018087789274139,0.8038213377095085,0.8687353242300038,0.6528805460618057,0,0.8602100775852612,1.0,0.75,0.5754663248446532,0.5458840081863723
3,0.7328048974770831,1,0,0.613925839728134,0.015341368318708776,0.1066367080912044,0.6262130293913706,0.18916235440783366,0,0.6364584257812702,0.0,0.5,0.08351437345488551,0.39495219273678406
